ID,assignee,organization_x,assignee_id,name,assignee_id1,location_id1,organization_y,assignee_id2,location_id2
564397,c830c9f2-e2d0-44ad-b388-da90eb03988d,Bugreplay,aafe0067-c38a-4281-9d30-4447309f7a7d,Bugreplay Inc.,c830c9f2-e2d0-44ad-b388-da90eb03988d,0ac6d5d6-16c8-11ed-9b5f-1234bde3cd05,Bugreplay Inc.,aafe0067-c38a-4281-9d30-4447309f7a7d,ed8a9882-09bd-11ec-893a-12de62d610b1
564430,c83e728b-658a-46e4-b620-a1bc4d2d414f,Infosafe Systems,39d8db59-91e1-47e6-9ac8-e5519f74c715,Easylink Services International Corporation,c83e728b-658a-46e4-b620-a1bc4d2d414f,92237ca2-16c8-11ed-9b5f-1234bde3cd05,"Infosafe Systems, Inc.",39d8db59-91e1-47e6-9ac8-e5519f74c715,fe67d7f9-cb8f-11eb-9615-121df0c29c1e
564455,c8474c28-93c8-423a-b041-0df1d09cf27b,Nipak,2fe96f23-ceaf-4564-8e63-d7a055e13767,"Nipak, Inc.",c8474c28-93c8-423a-b041-0df1d09cf27b,439af3dd-16c8-11ed-9b5f-1234bde3cd05,"Nipak, Inc.",2fe96f23-ceaf-4564-8e63-d7a055e13767,fd0bd731-cb90-11eb-9615-121df0c29c1e
564516,c8592454-d78f-4e98-b5b0-38bf99d7c9fc,The Shredded Tire,a7ff8139-184c-404e-821f-d93bd1bb391f,"Shredded Tire, Inc.",c8592454-d78f-4e98-b5b0-38bf99d7c9fc,f0033e87-16c7-11ed-9b5f-1234bde3cd05,"The Shredded Tire, Inc.",a7ff8139-184c-404e-821f-d93bd1bb391f,ffefc85e-09bb-11ec-893a-12de62d610b1
564576,c865e043-2de4-4942-8a98-18038a805e03,Victus,7fbe0c49-1046-4bb9-a857-04d87cdc40e9,Victus Limited,c865e043-2de4-4942-8a98-18038a805e03,ff63b7e9-16c7-11ed-9b5f-1234bde3cd05,"Victus, Ltd.",7fbe0c49-1046-4bb9-a857-04d87cdc40e9,ebe27612-cb90-11eb-9615-121df0c29c1e
564583,c8688b93-8891-48c8-96e3-4be11e988ed6,Cybiko,54f71695-c552-43ce-8211-efdd937a5421,Cybiko Incorporated,c8688b93-8891-48c8-96e3-4be11e988ed6,11d86544-16c8-11ed-9b5f-1234bde3cd05,"Cybiko, Inc.",54f71695-c552-43ce-8211-efdd937a5421,c12dfe2f-cb8f-11eb-9615-121df0c29c1e
564740,c89810a4-e3d1-4639-b20c-03549dbf90e3,Roman Machine,1397eabc-ebc7-473b-99fe-049e93483b1a,Roman Machine Co.,c89810a4-e3d1-4639-b20c-03549dbf90e3,1ad5627f-16c8-11ed-9b5f-1234bde3cd05,Roman Machine Co.,1397eabc-ebc7-473b-99fe-049e93483b1a,9ca460bd-cb8f-11eb-9615-121df0c29c1e
564807,c8b069f1-f5e4-4b26-b03d-55663e62231e,Chicago Metallic,72b7d76e-f895-48c0-ad3f-8e788323d549,Chicago Metallic Corporation,c8b069f1-f5e4-4b26-b03d-55663e62231e,e1c05366-16c7-11ed-9b5f-1234bde3cd05,Chicago Metallic Corporation,72b7d76e-f895-48c0-ad3f-8e788323d549,ee4d846b-cb8e-11eb-9615-121df0c29c1e
564962,c8e53fea-ed43-402a-9fe2-a69d5332e47b,US Band And Orchestra Supplies,0f65316e-f8d5-4d9d-8f61-bcab2aa4b935,"U. S. Band & Orchestra Supplies, Inc.",c8e53fea-ed43-402a-9fe2-a69d5332e47b,d5b78627-16c7-11ed-9b5f-1234bde3cd05,"U.S. Band & Orchestra Supplies, Inc.",0f65316e-f8d5-4d9d-8f61-bcab2aa4b935,fe67264c-cb8f-11eb-9615-121df0c29c1e
565004,c8f18902-5dc5-4636-8d45-36fb8656a7ca,CH Briggs,38a03762-0618-4bf4-ada9-740a85ceecc3,C H Briggs Company Inc,c8f18902-5dc5-4636-8d45-36fb8656a7ca,b24c7d1c-16c7-11ed-9b5f-1234bde3cd05,C.H. Briggs Company,38a03762-0618-4bf4-ada9-740a85ceecc3,be234fa0-cb8f-11eb-9615-121df0c29c1e
